date,AAPL_price,AMZN_price,GOOGL_price,META_price,MSFT_price,AAPL_return,AMZN_return,GOOGL_return,META_return,MSFT_return
2020-01-01,75.18859354654948,94.21188027518136,71.26948474702381,215.1405058361235,155.7140386672247,,,,,
2020-02-01,75.17266725239001,103.30876280132092,72.59418527703536,206.06582561292146,169.8791134482936,-11.47017853793878,-6.221372013363058,-6.527883127904611,-4.675348118116219,-4.5688126209629925
2020-03-01,63.413293144919656,93.61552221124822,58.81278766285289,164.5979655872692,145.24289772727272,-6.976144619562086,3.5020571318223226,-13.238745093897563,-13.337141347166725,-2.6541544695959707
2020-04-01,65.81555884225028,111.43526204427083,61.04433786301386,175.7754938034784,160.9382585797991,15.53735138072263,26.89001176660719,15.899982680261893,22.727803665139447,13.632582356876966
2020-05-01,75.05474700927735,119.70920066833496,68.55067520141601,215.04683685302734,173.77346267700196,8.509419749614144,-1.2784941240091885,6.446885158914584,9.955549917772633,2.5391266211446384
2020-06-01,83.78196057406339,130.67727279663086,71.04299302534623,230.4366912841797,183.9753279252486,14.7386431391348,12.956672853391126,-1.0791626922698305,0.8796539926599234,11.05594588687464
2020-07-01,92.61516432328658,152.6926567771218,75.19771367853338,237.55244099010122,197.70516135475853,16.513168781436583,14.71136218500213,4.929289319771946,11.714449644881642,0.7370612387604725
2020-08-01,113.8456795102074,162.46273658389137,76.67166500999814,266.92118690127415,204.86522638230096,21.656931742722385,9.046103369298208,9.515109158610668,15.58323009794056,10.275195971329488
2020-09-01,111.77132742745536,158.0374029250372,75.00837780180431,264.702872140067,199.8355756487165,-10.252634555917318,-8.757859185260553,-10.05995450790026,-10.675299926181204,-6.739659186789093
2020-10-01,113.0217548717152,161.53002374822444,76.51789543845437,267.9094737659801,203.7434546730735,-6.0012091824583,-3.575408533520552,10.269499570331387,0.46198210646568594,-3.7369785083180562
2020-11-01,113.5802677154541,157.09039993286132,86.51581153869628,274.389794921875,205.1514434814453,9.549313359924305,4.34398688653248,8.556987539469517,5.267783101177548,6.006034666930593
2020-12-01,123.79534634676847,159.88750041614878,87.72273601185192,274.6126528653231,209.14433843439275,11.457400850980726,2.8058383014484267,-0.10031183687562173,-1.375588663051952,3.9005873344790665
2021-01-01,129.3839504844264,160.0024205258018,89.33480232640316,262.77391293174344,212.99408199912622,-0.5501937874961449,-1.557601223652838,4.263266353028361,-5.429057657503822,4.2891882881433085
2021-02-01,128.0698386744449,163.19342121325042,102.13275909423828,264.4903307462993,230.57382603695518,-7.9711892190290285,-3.5328413767423683,10.64651048096248,-0.2748732548376376,0.4117938662752785
2021-03-01,118.70211128566577,153.4136312733526,101.61593694272248,273.5957960045856,224.73624386994734,0.733969441905602,0.037178414851712915,2.0084901852050807,14.327313128751463,1.4588030341781355
2021-04-01,128.38513510567802,167.60871378580728,112.79742576962425,305.6189647856213,245.80399722144716,7.621746502508042,12.066273709568343,14.107999617757482,10.372467879195879,6.960182299252882
2021-05-01,123.65393905639648,162.3129997253418,114.56229743957519,315.13467559814455,238.1532760620117,-5.049680485425256,-7.047025525869377,0.14233516419985826,1.1228050406453471,-0.7627379470606321
2021-06-01,126.79413812810725,168.38627139004794,120.13840415261008,334.0921700217507,249.6858901977539,9.910941680217423,6.735498737093981,3.6039541493186222,5.773731988346031,8.498868068213472
2021-07-01,141.60537429082962,180.80030968075707,127.59608859107608,350.92581758045014,271.3600013369606,6.498215022042886,-3.2722282722282725,10.350618384625609,2.4704535435420283,5.171647332448148
2021-08-01,144.74719931862572,165.6458872014826,137.33346210826528,360.49862393465907,283.96222201260656,4.24892315465184,4.3034169499993835,7.4009063331029745,6.477694243068255,6.159100427231956
2021-09-01,144.91172572544642,171.35914321172805,140.1196492513021,361.4423537481399,286.7259085518973,-6.803643969545547,-5.351810876292584,-7.616921003907651,-10.54087109665881,-6.611876904532654
2021-10-01,142.2321087065197,166.71031043643043,139.06212216331846,326.38533092680433,293.1660781133743,5.865715552669459,2.660245759664326,10.749883782366986,-4.66132342773281,17.62913122870191
2021-11-01,150.90420677548363,175.88092767624627,145.65610976446243,334.1955319359189,324.64495849609375,10.508171305524105,3.9923701306487036,-4.153096940314671,0.2750543441510045,-0.12823170968752073
2021-12-01,169.82790929620916,170.86247877641156,144.06270599365234,328.5508728027344,322.0190734863281,7.422873690710663,-4.925196878828486,2.082135428838705,3.664561405768607,1.7332649214252038
2022-01-01,166.21589126586915,155.48084869384766,134.94235954284667,317.19132843017576,298.7334716796875,-1.5712361669192987,-10.282991021845667,-6.591923248904963,-6.864875971933648,-7.534492201273901
2022-02-01,166.36246851870888,153.78381508275083,135.68768109773336,226.85273501747534,289.29158742804276,-5.406545703576282,2.6672518265588474,-0.18216623054868597,-32.634236368391534,-3.7212003907562186
2022-03-01,161.96860869034478,154.28047976286516,133.96574733568275,205.82226761527684,286.7539354407269,5.747354315208009,6.143728503001578,2.9694966977323434,5.368904098368121,3.186195736183617
2022-04-01,163.4486328125,151.3087001800537,127.11083793640137,206.79049987792968,280.025927734375,-9.713105184360138,-23.75250931362105,-17.94669840517743,-9.844399649877268,-9.986702962559523
2022-05-01,145.59967186337425,112.47304789225261,112.34526897612072,196.36878022693452,258.86920674641925,-5.449620162781599,-3.2764317603166337,-0.3045256328666479,-3.4069793778045643,-1.8077216560041465
2022-06-01,137.17373402913412,112.86309523809524,111.58640616280692,172.29693240211122,252.19205002557663,-8.142965951084658,-11.645921262241288,-4.2184594647519225,-16.72692918414256,-5.532066743160446
2022-07-01,146.86029891967775,117.03749961853028,111.80594978332519,166.19855651855468,254.8300636291504,18.863383443389825,27.059597129750056,6.751837897082269,-1.3333145296055338,9.309661166145823
2022-08-01,163.94053052819294,137.43956557564113,115.38686603048573,167.3864056131114,272.9363230829654,-3.120803943393713,-6.061504624052039,-6.963551719202032,2.4072741671455233,-6.6663102263437075
2022-09-01,150.338625953311,123.21381051199776,102.55512201218377,148.91927809942337,241.24593026297433,-12.097700993317462,-10.862189009783762,-11.615223209719394,-16.724967016261296,-10.926692431259399
2022-10-01,142.48822457449776,114.46047610328311,98.13707660493397,127.02838171096076,230.8534415108817,10.955141181421379,-9.345130582826345,-1.1918488283512385,-31.338446744897052,-0.33059466879012955
2022-11-01,143.50775582449776,93.9480954124814,93.20481799897694,105.65766034807477,231.40289015997024,-3.3027748895289144,-5.7594703097099025,6.856423477429585,26.771141659335296,10.222296496841764
2022-12-01,135.700560433524,87.93714250837054,91.62296113513764,117.14645676385788,239.90646507626488,-12.227276473823224,-12.989435256479709,-12.634908538383849,1.8966872910964216,-6.004551507947253
2023-01-01,133.63600273132323,94.22350006103515,92.34278373718261,136.29742507934571,231.7403251647949,11.052162141683963,22.773806254068994,12.025376726349336,23.790940453348885,3.3316560090122183
2023-02-01,148.7287268387644,99.21421131334807,95.69380669844777,175.25473343698602,253.92903297825865,2.318312253550925,-8.629878923214452,-8.883049897709638,17.433034208566035,0.9017890647696758
2023-03-01,152.75185162088147,96.5469559379246,97.32464102040167,192.5985518745754,261.1665078868037,11.864830032048657,9.614769432062321,15.178789845048858,21.150133720240348,15.588170991477712
2023-04-01,162.6888981869346,103.34157883493523,104.91831689131887,215.69540244654604,282.6071568539268,2.89873983342972,2.091195675834445,3.4801842162324848,13.390567672786702,6.576486218919908
2023-05-01,170.29771076549184,111.93954641168767,115.25327266346325,241.67410347678444,308.24901788884944,4.605819538651712,14.348037288458816,14.468048476617646,10.153123723055213,7.110565892692544
2023-06-01,181.9029795328776,126.38047572544643,121.61113884335472,275.1404317220052,328.3818126860119,9.433003581828704,8.110796675057031,-2.5799786499626665,8.408887122291041,3.699853297306399
2023-07-01,189.9261604309082,130.8180004119873,122.13170547485352,301.0381454467773,335.280451965332,1.2785489875610123,2.5467873963526566,10.877194740034813,11.01819258881056,-1.3566643520863009
2023-08-01,178.9007103961447,135.5021753725798,129.5701373556386,297.77775507387906,318.7492781929348,-4.238373377667792,3.23907994336623,2.5994615133067667,-7.128058787755731,-2.2225684902399623
2023-09-01,174.9521224975586,135.44000091552735,133.2963554382324,299.0296920776367,320.60146179199216,-8.867841038651559,-7.890726899285894,-3.8995429098527046,1.460004116959035,-3.664268653253888
2023-10-01,172.64529904452237,128.27863589200106,133.17061857743695,308.7121762362394,323.453349720348,-0.25696901890834845,4.696344762680638,-5.181104236413569,0.35307453893633767,7.081538863171533
2023-11-01,183.8905770438058,143.45762052990142,132.38213493710472,326.2065734863281,362.5951363699777,11.377992094155598,9.76782655173829,6.810136609139206,8.590289991343969,12.294561391801384
2023-12-01,192.31068725585936,149.82399978637696,134.5578170776367,336.59527282714845,367.1045196533203,1.3582569637606179,4.004385139407618,5.402539153264474,8.195019090362043,-0.7574473866127862
2024-01-01,185.79416038876488,153.615237281436,142.7636965797061,371.3195539202009,383.72865513392856,-4.222722528140189,2.1455801332457725,0.29351517355353796,10.221519135704815,5.728109175337859
2024-02-01,183.03785934448243,171.00349807739258,141.76288146972655,467.12286376953125,403.3940093994141,-1.8543156542928485,13.89175127740745,-1.1706027857041001,25.762544261016185,4.231851180733703
2024-03-01,171.13898849487305,176.8224998474121,141.37927780151367,494.78236083984376,411.4259521484375,-5.128625605449555,2.0479805886374214,9.006195490217861,-0.9283298630622827,1.7116262119450498
2024-04-01,168.07491926713422,181.17318240079013,156.00806357643822,488.95093328302556,407.94545953924006,-0.6706349666002476,-2.9825949313549094,7.851335175887231,-11.411091022725305,-7.461019728273211
2024-05-01,184.7794224132191,184.17636455189097,170.7051967274059,465.01711203835225,412.57694868607956,13.022225854252255,0.8228585379464359,5.971240891768481,8.522201214568126,6.819107989332829
2024-06-01,204.68015570389596,186.08421084755346,176.60009042840255,497.9717873021176,433.48167178505344,9.55526850415116,9.52731655293202,5.715406398933642,8.116590105876952,7.665050394550343
2024-07-01,222.87492231889203,190.33318190141156,179.44370893998578,489.8810091885653,440.4010661732067,5.44108210862948,-3.2445041513381456,-5.824872669564063,-5.828815516454366,-6.39892405461392
2024-08-01,220.11375704678622,172.39227294921875,162.53466519442472,513.6386593905362,408.3626237349077,3.235352849388784,-4.5352422298136075,-4.756893709582322,9.788777364042112,-0.10950474643511843
2024-09-01,222.29774703979493,184.8660011291504,157.34800567626954,534.9080871582031,420.2851806640625,1.7467299869756925,4.3865556476496925,1.6465092453127328,9.912741295660688,3.154808740001691
2024-10-01,228.55472796896228,186.83478313943615,164.5657136336617,578.9900963824729,415.8486328125,-3.0429254335314515,0.03756349741959042,3.171535968412331,-0.8489976278763023,-5.565880904509168
2024-11-01,226.511669921875,204.50499954223633,172.70191192626953,568.6467376708985,415.2871368408203,5.170696526349361,11.52897328156477,-1.2623538729827022,1.1875051821705673,4.419245979643649
2024-12-01,247.96827770414808,224.1009521484375,186.0010768345424,606.3687395368304,436.1908801850818,5.515523923865007,5.531771626226978,12.173409923999357,2.03061694927118,-0.4628538294466189
2025-01-01,233.31248321533204,228.0160011291504,194.5739616394043,629.6689422607421,425.2654083251953,-5.758321360494357,8.336748865953902,7.776012238006702,17.705930695700168,-1.5278793619988962
2025-02-01,237.41222662674753,225.84894682231703,183.601462916324,697.0199681332236,405.39712203176396,2.5872442957296737,-10.686635257151178,-16.53760552807246,-3.044199149771354,-4.161804405288427
2025-03-01,221.73643493652344,198.50904773530505,164.85873049781435,607.530988420759,385.58292061941967,-8.15002158683823,-10.373094214756728,-9.080271617301793,-13.667641769846629,-5.440938320616684
2025-04-01,200.31077357700892,181.21380905877976,154.1324506487165,532.3298703148251,376.2145763578869,-4.335299457257069,-3.0694820280155244,2.6901195132635003,-4.747035961592793,5.293159369516842
2025-05-01,203.24083528064546,200.15714300246466,163.9268297467913,624.1721569242932,446.1844424293155,-5.358400561489929,11.164730800522161,8.148610930180755,17.939880677727693,16.683984309020627
2025-06-01,200.04823455810546,213.01850204467775,172.2410919189453,697.1736846923828,476.87156982421874,2.150846622243807,7.014294555445666,2.7386468969248012,14.08021909697137,8.04805928719734
2025-07-01,210.63991338556463,226.29590953480113,184.64759896018288,714.9966042258523,504.51752679998225,1.1697750437198673,6.709513314943605,8.891782593591536,4.789379390888326,7.25558001480362
2025-08-01,224.15128144763764,224.67095220656623,201.7779039655413,760.8331618536087,514.7986668178013,11.963887728378308,-2.1827348669553825,10.948413566208082,-4.491616095692674,-4.869173164017981
2025-09-01,242.02488563174293,228.0895233154297,242.33517456054688,755.2065226236979,507.0034586588542,9.688121209766344,-4.117900731782209,14.281830026627063,-0.5177146709903213,2.2222696912739703
2025-10-01,257.80383566151494,222.15043507451597,254.00429103685462,719.0305281929348,520.2293714440387,6.181516630416772,11.226484981660544,15.668445489802775,-11.714644405548135,-0.02703583369538798
2025-11-01,271.33374184056333,236.2742108796772,292.73588642321135,617.027298776727,496.15394030119245,3.2364240050754223,-4.504135592915349,13.86606727554951,-0.06169262788171537,-4.804681180214809
2025-12-01,276.2595926920573,229.18714323497954,312.43719773065476,656.5393298921131,483.87523978097096,-2.069217088964992,-0.29585903344253595,-1.9128929497939873,2.861814275783181,-0.9207127272582882
